days_since_publication,cited_by_count,ProjectTitle
4814,18,The Impact of Foreign Trade on the U.S. Economy
6519,2250,"Explaining Home Bias in Consumption: Production Location, Magnification, and Hysteresis"
2696,8,Analyzing the Long-term Effectiveness of Business Assistance on Firm Productivity and Survival
4874,8,Analyzing the Long-term Effectiveness of Business Assistance on Firm Productivity and Survival
3778,2,Analyzing the Long-term Effectiveness of Business Assistance on Firm Productivity and Survival
4143,47,The Effects of Early Childhood Circumstances on Adult Involvement in the Criminal Justice System
7796,2295,The Displacement Costs of Workers: Evidence from the Clean Air Act Amendments and the LEHD
3139,77,Factors Driving Changes in U.S. Firms' International Sourcing from China
3848,59,CM98-06  Spillovers from Large Manufacturing Plants in the U.S. & Pennsylvania
6061,346,Rising Health Care Costs: Effects on Labor Demand and Retiree Health Insurance Benefits
8375,36,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
939,1,Cross Sectional and Time Series Analysis of Production and Energy Efficiency in Manufacturing
3645,56,Imports and Productivity in U.S. Manufacturing
5969,2,"Recessions, Local Labor Markets, and Inequality"
4816,40,Plant Size and Plant Function
3658,89,The Determinants and Ramifications of Firms' Global Production
8009,94,The Impact of Foreign Trade on the U.S. Economy
784,3,The Social and Economic Consequences of Violent Victimization in the NCVS
4449,84,Effects of the Family and Medical Leave Act on Firms and Workers: Evidence from the LEHD
3413,64,"Business Cycles, Business Dynamics and Firm Behavior"
2348,12,"The Labor Share, Superstar Firms, and Business Cycles"
3688,57,"Unemployment Insurance Duration, Labor Market Concentration, and Match Quality: Evidence from the Great Recession"
3136,293,The Role of Firm Size and Age on Employment and Hours Adjustments
6592,369,The Impact of Foreign Trade on the U.S. Economy
5879,192,Understanding Micro-Productivity Heterogeneity
7532,18,Firms and Workers: Volatility and Inequality
3070,7,Understanding Cooperative Organizations
5604,3,How Long Will They Stay? Foreign-Born Out-Migration from New U.S. Destinations
4572,226,The Labor Market for Older Workers
2531,35,"Exploration of the Use of Freight Demand Models to Identify Outliers, Data Coding Errors, and Improve Sample Design of the Commodity Flow Survey"
5239,152,Internal Migration to and Retention of the Foreign Born in non-Traditional Destinations
4584,28,The identification and neighborhood locations of children from mixed and unmixed ethno-racial backgrounds
3900,4,Synthetic Data Generation for Small Area Estimation
6945,49,Evaluating and Enhancing the MEPS-IC as a Source of  Employment-Related Insurance Estimates
2166,36,Productivity and Distortions
2604,411,Political Environments and Manufacturing Employment and Investment
2121,41,Gentrification in the Context of New Geography
4745,222,The Impact of Spin-out Generation on Parent and Progeny Firms
4072,14,"Space, Organization and Spillovers in Consolidating Local Industries"
1678,5,Temporary Help Industry and Local Market Conditions
5475,2,"Access to Financing and Its impact on Growth, Innovation, and Performance"
5620,41,How Does Space Matter in Ethnic Labor Market Segmentation?
2778,364,Local Economic Shocks and Firm Growth
5233,183,"Local Economic Shocks, Neighborhood Change, and Commuting"
4508,11,"Human Capital and Corporate Financing, Restructuring, and Governance"
2815,13,The Role of Foreign Production in U.S. Prices and Firm Behavior
5453,989,Identifying Agglomeration Spillovers:  New Evidence from Large Plant Openings
1867,390,Political Environments and Manufacturing Employment and Investment
1861,12,Political Environments and Manufacturing Employment and Investment
6087,17,Impacts of trade on wage inequality across U.S. regions: analysis using matched employer-employee data
1742,48,New Directions in Research on Immigration and Crime
8229,2182,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
2533,7,Methods and Applications for Massive One-mode and Bipartite Social Networks
7430,352,Defensive Innovation and Firm Growth in the U.S.: Impact of International Trade
4508,1,How does monopolistic competition across industries affect socio-economic outcomes in the U.S.?
4143,5,"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy"
3617,52,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
4508,2,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
4388,13,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs
4449,22,Cross Sectional and Time Series Analysis of Production and Energy Efficiency in Manufacturing
4301,71,An Empirical Assessment of the Value of Electronic Integration in the Manufacturing Sector
1534,4,IT and Organizational Capital
2381,452,Political Environments and Manufacturing Employment and Investment
6209,18,Can the Location of Labor Intensive Manufacturing Account for the Employment of Foreign-Born Workers in the US?
6620,57,The Impact of Financing Constraints on Trade: Evidence from US Firm-Level Data
5514,37,The Impact of Foreign Trade on the U.S. Economy
8375,55,Innovation and Market Concentration
2409,49,Firm Dynamics in International Trade: Evidence from the U.S.-China Tariff Increase
1861,69,The Effects of Early Childhood Circumstances on Adult Involvement in the Criminal Justice System
6889,31,Impacts of trade on wage inequality across U.S. regions: analysis using matched employer-employee data
5969,1,An Empirical Assessment of the Value of Electronic Integration in the Manufacturing Sector
3372,303,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
3900,113,Evaluate the Quality of Worker-Establishment Assignments in LEHD and Study the Role Workers in Banking
2993,117,Mechanisms behind Higher Mobility Rates among College Graduates
9166,451,Criminal Offenders in the Labor Market
3841,137,"Interfirm Job Mobility, Local Labor Markets, and Organizational Dynamics in Retail"
2682,38,The Impact of Accounting Frauds on Labor Markets
3730,49,"Exploration of the Use of Freight Demand Models to Identify Outliers, Data Coding Errors, and Improve Sample Design of the Commodity Flow Survey"
4658,26,Specialization and Organization in Legal Services
3413,18,"Searching, matching, and the transfer of information in international trade relationships"
7406,633,How Do Households Relocate in Response to the Changes in Moving Costs? 
10263,1161,Returns to Scale in U.S. Manufacturing and Construction Establishments
5766,450,The Roles of the Opioid and COVID Crises in Entrepreneurship and Innovation
1820,60,Understanding Employee Entrepreneurship
1901,21,Evaluating the Economic Impact of an Economic Development Program: Measuring the Performance of the Manufacturing Extension Partnership
11693,426,"The Effect of Labor and Capital on Productivity, Employment, Wages, and Regional Business Dynamism"
1125,0,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
1510,19,The Employment and Wage Effects of Mergers and Acquisitions
2001,2,Organizational Task Environment and Returns to Inventory Leanness
4432,37,Survey Data on Capacity Utilization and Plant Work Patterns in U.S. Manufacturing
4109,37,"Market Power, Prices, and Productivity"
2233,51,An Analysis of the Measurement and Determinants of Vertical Integration
3900,208,Factor aging and technology adoption
5239,4,"Residential Property Valuation, Tax Exemptions, and Migration"
5604,3,The Demographics of Air Conditioning Adoption: Evidence from the American Housing Survey
6792,411,Small Businesses and Employer-Sponsored Health Insurance
2106,104,Productivity Growth in Construction
7432,543,Firm Dynamics and Monetary Policy
1159,31,Identifying Sources of Monopsony Power in Labor Markets
4045,53,"Demystifying Asian Americans' Earnings (Dis)Advantages in the US Labor Market, 2000-2014"
2751,1,Evaluation of New Service Firm Entries in the SSEL and Analysis of Regional Differences in their Entry Rates
3778,0,Measuring Geographic Differences in Technical Change in the US Manufacturing Sector
10126,11324,"Ethnicity and Interview Language in the NCVS: An Analysis of Response Patterns, Data Quality, and Experiences with Crime"
6084,481,Housing Values and Eminent Domain
2590,14,An Evaluation of the Impact of the Social Security Disability Insurance Program on Labor Force Participation during the 1990s
6482,93,"Investment, Risk and R&D"
5211,45,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit"
2973,162,Modal Choice in Product Shipments
6122,83,The impact of banking market structure on the life-cycle dynamics of non-financial industries
2378,9,Firm and Establishment Growth in Time and Space
2939,5,WO98-05  THE DIFFERENTIAL IMPACT OF SOCIAL SECURITY REFORM ON MINORITIES
2227,545,"Firm Heterogeneity, Misallocation, and Trade"
8041,87,The Dynamics of Owner Age and Business Performance
4550,12,An Evaluation of the Impact of the Social Security Disability Insurance Program on Labor Force Participation during the 1990s
2317,16,Firm financial constraints and employment
2896,21,Firm Production Structure
2735,28,The Effect of Rent Control and Inclusionary Zoning on Housing Affordability and Access to Opportunity
3154,9,"Wage Changes, Net and Gross Employment Flows"
8029,566,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance"
7949,3055,The Impact of Foreign Trade on the U.S. Economy
7361,208,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance"
5064,229,Market Structure and the Evolution of the Garment Cleaning Industry
5239,1,Evaluation of New Service Firm Entries in the SSEL and Analysis of Regional Differences in their Entry Rates
12179,1097,Accounting for Productivity Dispersion over the Business Cycle
7675,2604,Productivity and Efficiency Analysis in U.S. Food Manufacturing Industry
3890,1,Mergers and Acquisitions in a Vertically Integrated Industry:  The Case of Poultry Processing
1405,23,"Location Spillovers, Labor Market Outcomes and Firm Productivity"
4520,523,Internal Corporate Governance and Plant-Level Productivity
3047,5,Generating A Geographic Wage Comparison Index
3992,206,Real Estate Pass-through and Household Location Choices
4252,77,Causes and Consequences of Neighborhood Economic Transitions
4418,10,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms"
2378,25,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms"
1972,273,Health and Migration in the Continental United States
4508,14,Technology Lock-In: Evidence from U.S. Manufacturing
2650,20,"Ethnicity and Interview Language in the NCVS: An Analysis of Response Patterns, Data Quality, and Experiences with Crime"
5726,51,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
3505,85,"State Variation in Intimate Partner Violence Rates, Reporting, and Healthcare Utilization"
8526,142,WO98-05  THE DIFFERENTIAL IMPACT OF SOCIAL SECURITY REFORM ON MINORITIES
12271,444,Economic Data Aggregation Bias: Empirical Evidence from the Energy Sector
7614,80,Input Sourcing and Supplier Choice in International Trade
5117,154,"Industrial Structure, Agglomeration,and Productivity"
2710,121,The Effects of Early Childhood Circumstances on Adult Involvement in the Criminal Justice System
6731,13,The Importance of Relocations in U.S. Manufacturing
9471,454,"Human Capital and Corporate Financing, Restructuring, and Governance"
6700,13,Individuals and Neighborhoods: A Reciprocal Relationship and its Consequences for Change over Time
4025,38,Disability Insurance and Employment Decisions
8318,3842,Neighborhood Physical Form and Residential Satisfaction
887,0,Immigrant Entrepreneurship with a Focus on Latino Entrepreneurship
3047,0,"Patterns of Residential Settlement, Distribution,  and Locational Attainment in the United States:  1970-2000 and Beyond"
4652,11,Racial Residential Segregation and the Distribution of Health-Promoting Establishments in Neighborhoods over Time
4302,1,Should My Car Move or Should We? An Intra-Household Model of Residential and Commuting Choices
1983,71,"Wealth, Startups and the Business Cycle"
4204,60,Political Environments and Manufacturing Employment and Investment
4498,28,The Going Public Decision and the Product Market
3980,20,Social Capital and Entrepreneurship
2774,11,Minimum Wages and Neighborhoods
2925,55,Minority Migrant Dispersal Over Five Decades
3778,0,Understanding Employee Entrepreneurship
2491,11,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
856,2,Neighborhood and Metropolitan Racial Differences in Rental Property Management
2651,211,Understanding Factors Affecting the Ability of Older Workers to Participate in the Labor Force: Employer Concentration and Employer Demand
8007,7,The Impact of Foreign Trade on the U.S. Economy
4323,9,Credit Markets and Real Corporate Policies
4508,2,Synthetic Data Generation for Small Area Estimation
3131,64,Worker Quality and Firm Heterogeneity
4389,17,"Place and Cohort of Birth, Program Availability, and the Measurement of Labor Market Outcomes"
4874,3,The Emergence of Wage Discrimination in US Manufacturing
491,0,Firms and Economic Geography
3737,147,The Human Factor in Corporate Restructuring Decisions
4549,16,The Effects of Vietnam Draft Lottery Status on Later Life Outcomes
5453,1438,Agglomeration Effects: The Role of Selection
3413,2,The Impact of Natural Disasters on Business Dynamics
2743,7,"Determinants of Marriage, Fertility, and Migration Decisions"
2971,52,Energy and the Environment - Exploring Plant Level Production Decisions
5604,27,The Impact of Spin-out Generation on Parent and Progeny Firms
4521,63,Evaluation of New Service Firm Entries in the SSEL and Analysis of Regional Differences in their Entry Rates
2079,104,Understanding the Effects of Natural Disasters on Rental Markets and Renter Migration Decisions
7218,26,Evaluating and Enhancing the MEPS-IC as a Source of Policy Relevant Estimates
4630,350,Productivity Heterogeneity and Market Segmentation
2957,10,Identifying Firm Effects on Internal Wage Distributions
3778,0,Mergers and Acquisitions in a Vertically Integrated Industry:  The Case of Poultry Processing
2896,12,Analyzing the Long-term Effectiveness of Business Assistance on Firm Productivity and Survival
1923,1534,"The Labor Share, Superstar Firms, and Business Cycles"
1952,11,Firms and Economic Geography
5118,5,Evaluating and Enhancing the MEPS-IC as a Source of Policy Relevant Estimates
2423,134,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit"
3108,47,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit"
3413,3,The Impact of the ACA Medicaid Expansion on Public Program Participation and Labor Market Outcomes of Low-Wage Workers
2334,14,The Health Care Safety Net and Employer Health Insurance Provision
491,0,The Impact of Financing Constraints on Trade: Evidence from US Firm-Level Data
4080,85,Resettlement and Well-Being of New Orleans Residents after Hurricane Katrina
2298,81,The Role of Information Technology in Production
491,26,Labor Market Segmentation and the Distribution of Income
1559,90,On The Margins of Firm Growth
2734,74,Firm Performance Effects of Broad-based Employee Stock Ownership
4940,25,Estimating the Cost Saving from Incentive-Based Environmental Policy When Cost Are Heterogeneous
1322,70,Accounting for Productivity Dispersion over the Business Cycle
3243,27,Social Returns to Education
2730,16,The Anatomy of Firm Exit
3073,14,The Role of Agents and Brokers in the Market for Health Insurance - An Analysis of MEPS-IC
3292,23,Industry and Sectoral Variation in Firm Dynamics
830,11,American Communities Project
2348,3,The Impact of Foreign Trade on the U.S. Economy
4874,16,"Cost Incentives, Trade-Induced Competitive Pressures, and Technology Adoption: Evidence from the U.S. Manufacturing Sector"
705,9,The Snowball Effect of Top-income Inequality
4537,8,Scale and Scope Economies and the Organization of the U.S. Advertising and Marketing Services Industry
3322,35,Agglomeration Effects: The Role of Selection
2973,30,Evaluating the Utility of SIPP Data to Examine the Increasingly Heterogeneous Foreign Born Population
5119,13,The Effects of Vietnam Draft Lottery Status on Later Life Outcomes
3778,2,"Wages, Production and Pass-through"
3406,769,Political Environments and Manufacturing Employment and Investment
3982,107,The Human Factor in Corporate Restructuring Decisions
1589,75,"Management, uncertainty and firm performance"
754,9,Bargaining power in firm-to-firm relationships
3719,17,Internal Migration to and Retention of the Foreign Born in non-Traditional Destinations
2682,6,The Health Care Safety Net and Employer Health Insurance Provision
2317,9,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
4084,49,Health and Migration in the Continental United States
4874,100,"Regional Entrepreneurship, Innovation, and Firm Dynamics"
2959,33,"Democracy, Institutions, Firms and Trade"
2062,12,Reallocation and Productivity Growth: A Cross-Sector Analysis
2310,0,"The Role of Social Capital in Labor Markets, Migration, and Survey Response"
3355,47,"Exploration of the Use of Freight Demand Models to Identify Outliers, Data Coding Errors, and Improve Sample Design of the Commodity Flow Survey"
2402,23,"Racialization, Class, and Migration: Intersectional Effects of Structural Discrimination on Child Access to WIC"
3071,280,"Using Establishment-Level, Longitudinal Data to Examine the Effect of Emissions on Health Outcomes"
3452,42,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
5239,44,"Searching, matching, and the transfer of information in international trade relationships"
9013,1574,"Firm Heterogeneity, Misallocation, and Trade"
2479,6,The Determinants of Industrial Location
370,2,Older Workers' Displacement and Mobility
5604,18,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms"
4418,51,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms"
3505,23,Industry and Sectoral Variation in Firm Dynamics
7845,44,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance"
2197,379,R&D Expenditures by Industry
1184,1,Locational Attainment and Residential Segregation in U.S. Metropolitan Areas
2186,81,Estimating the Cost Saving from Incentive-Based Environmental Policy When Cost Are Heterogeneous
6618,149,"Outsourcing, Firm structure, and Headquarter Location"
3413,0,Latino Residential Segregation in the United States: Applying New Methods to Gain New Understandings
5199,12,Dynamics of Plant-level Productivity in the U.S.
6633,391,"WO00-01-01  Determinants of Business Growth and Survival: the Role of Gender, Race and Ethnicity"
5180,2298,"Human Capital and Corporate Financing, Restructuring, and Governance"
7712,25,"The Role of Social Capital in Labor Markets, Migration, and Survey Response"
4783,50,"Intangibles, Productivity, and Firm Growth"
4463,19,Exploring How Neighborhood Quality Influences Household Residential Choices
7678,1546,The Impact of Foreign Trade on the U.S. Economy
5235,45,Internal Migration to and Retention of the Foreign Born in non-Traditional Destinations
3413,36,"The Effects of Place-Based Treatments on Neighborhoods, Incumbent Residents, and In-Migration"
376,3,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
4029,42,"Employment and TANF Outcomes for Low-Income Families Receiving Child Care Subsidies in Illinois, Maryland and Texas:  Phase I"
4418,582,Job Availability and Employment
5239,8,The Impact of Spin-out Generation on Parent and Progeny Firms
2695,39,Firm Dynamics Across Sectors and Countries
5879,63,The Behavior of Small and Large Firms over the Business Cycle
1221,28,Workers and International Markets
5331,66,Skill Mismatch and the Countercyclicality of the College Quality Premium
6549,368,An Assessment of the Impact of Product and Process Innovations on Firm Performance
7315,75,The real costs of credit access: Evidence from the payday lending market
7765,3970,Worker Quality and Firm Heterogeneity
7675,1372,Input Sourcing and Supplier Choice in International Trade
5040,823,Trade-Induced Spillovers and Reallocation Across Firms
3505,318,International Buyer-Seller Matches
5604,314,M&A Premium and Labor Force Restructuring
8192,434,Tariff Exclusions and Firms' Performance
5969,60,Dynamic Effects of Wage Setting: Evidence from the National War Labor Board
4984,141,Internal Corporate Governance and Plant-Level Productivity
5635,457,Technology Lock-In: Evidence from U.S. Manufacturing
6669,97,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance"
675,17,Corporate Restructuring and Human Capital
8526,60,The Effect of Medicaid Expansion on Mortality Disparities and Poverty
8648,126,Vertical Linkages and Investment Decisions
5846,727,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs
1254,106,"Minority- and Women-Owned Businesses, Food Security, Innovation and Access to Credit in Rural America"
1895,339,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
3220,199,"Migration in the Arctic: Subsistence, Jobs, and Well-being in Urban and Rural Communities"
4257,86,"Firm Organization, Internal Capital Markets and Merger and Acquisition Activity"
6362,305,Employment Responses to Federal and State Changes in Access to Private and Public Health Insurance
4357,185,A Firm and Plant-Level Analysis of Outsourcing: Sources of Productivity Growth and Heterogeneity
1921,12,The Causes and Consequences of International Trade
2317,21,Cross Sectional and Time Series Analysis of Production and Energy Efficiency in Manufacturing
4508,35,Franchising and Labor Market Outcomes
1708,105,The Insurance Role of the Family: Long-run responses to unemployment shocks
3261,31,Dynamic Effects of Wage Setting: Evidence from the National War Labor Board
1964,627,Marriage and Economic Opportunity in the United States
5341,2306,The Role of Mothers on Social Mobility of Sons and Assortative Mating in the United States
5478,586,Firm dynamics and the composition of external finance
5969,6,"Location, growth, and productivity in the manufacturing and service sectors"
3547,3,The Effect of Employer-Provided Health Insurance on Employment and Wages
4174,2,The Role of Agents and Brokers in the Market for Health Insurance - An Analysis of MEPS-IC
2192,45,The Effect of SNAP Policy on Labor Market and Health Outcomes
5027,15,An Analysis of the Measurement and Determinants of Vertical Integration
4689,112,The Power of the Pill in Shaping U.S. Fertility and Childbearing Behavior
5239,17,The Impact of Online Retail on the Market Structure of Retail and Service 	Industries
2867,86,Early Childhood Education and Long-Run Outcomes
8891,1351,"Oil and Gas Siting, Housing Choices, and Environmental Justice"
3738,79,Understanding Cooperative Organizations
6700,3,"Family Resources, Race, and Small Business Outcomes"
3905,4,CPS - Tax Calculation
4508,1,CPS - Tax Calculation
3022,127,"Flood Risk, Migration, and Policy: Evidence from U.S. Households"
5119,104,The identification and neighborhood locations of children from mixed and unmixed ethno-racial backgrounds
3778,8,"Market Power, Prices, and Productivity"
7201,466,The Urban Geography of Household Mortgages and Housing Returns
1466,0,A General Equilibrium Analysis of Urban Labor and Housing Markets
4112,10,Evaluating and Enhancing the MEPS-IC as a Source of Policy Relevant Estimates
2592,177,"Industrial Structure, Agglomeration,and Productivity"
4604,147,The Dynamics of the Allocation of Capital and Labor in the United States
2999,195,Migration Constraints and Job Opportunities
4227,24,"Trade, Employment, and Inequality: An Investigation of Rural Economic Change"
5545,87,The Determinants and Consequences of Personal Bankruptcy
2348,71,Demand and Supply Factors in Firm Dynamics
1831,57,The effect of shipping costs on product quality choices
2592,28,Seasonality of Transportation Data in the American Community Survey
5088,63,The Impact of Native American Casinos on Local Communities
3078,13,"Immigration, Earnings and the Dynamics of Labor Market Adjustment in the United States: Comparing CPS Earnings to LEHD Earnings Records"
5726,13,"Trade, Employment, and Inequality: An Investigation of Rural Economic Change"
2835,67,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
6335,47,Forecasting Income Inequality in the United States
2013,7,Defensive Innovation and Firm Growth in the U.S.: Impact of International Trade
3074,5,The Role of Agents and Brokers in the Market for Health Insurance - An Analysis of MEPS-IC
3724,7,Input Sourcing and Supplier Choice in International Trade
5665,26,Political Environments and Manufacturing Employment and Investment
5604,17,Political Environments and Manufacturing Employment and Investment
1104,187,The Impact of Foreign Trade on the U.S. Economy
4001,484,"Covering Kids: Evaluating Efforts to the Reduce the Number of Uninsured Children, Evidence from CHIP"
3018,132,Financial Constraints and the Margins of Misallocation Across Firms
4053,81,Can the Location of Labor Intensive Manufacturing Account for the Employment of Foreign-Born Workers in the US?
2092,75,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit"
3810,167,Does Access to Health Care Affect Teen Birth Rates and School Dropout Rates? Evidence from School-based Health Centers
195,0,Evaluating and Enhancing the MEPS IC as a Source of Information on Employer Health Insurance Offerings
4205,224,Effects of the Family and Medical Leave Act on Firms and Workers: Evidence from the LEHD
4722,54,Effects of the Family and Medical Leave Act on Firms and Workers: Evidence from the LEHD
6061,102,Unions and Technology Adoption in U.S. Manufacturing
5026,93,Factors Driving Changes in U.S. Firms' International Sourcing from China
4996,131,Understanding Firm Investment
2385,6,Welfare Reform and Migration:  Moving to Benefits/Moving from Restrictions?
364,0,Health and Migration in the Continental United States
5545,575,A Study of the Annual Capital Expenditures Survey Data
1647,209,Do Plants Move? - Evidence of Relocation in U.S. Manufacturing Plants
3193,904,Estimating Productivity Spillovers from Manufacturing Employment using Trade Shocks
3429,802,Estimating Productivity Spillovers from Manufacturing Employment using Trade Shocks
2541,381,The Snowball Effect of Top-income Inequality
3933,291,Economic Strategies of Survival and Mobility:  Ethnic Entrepreneurship in the United States
3535,56,Political Environments and Manufacturing Employment and Investment
1739,311,"The Role of Social Capital in Labor Markets, Migration, and Survey Response"
4296,3,An Empirical Investigation of  The Supply of and Demand for Private Schooling in the United States
2623,46,The Transformation of the U.S. Manufacturing Sector
705,6,Effects of Public Investment in Higher Education
3351,129,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes"
371,5,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes"
2876,40,R&D Expenditures by Industry
2682,64,Productivity Heterogeneity and Market Segmentation
1015,4,Firm Dynamics in the Agricultural Services Sector: Evidence from the Longitudinal Business Database
1681,617,Estimating Productivity Spillovers from Manufacturing Employment using Trade Shocks
2603,38,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
3413,24,Social Returns to Education
2136,93,Social Returns to Education
1831,430,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
1374,22,Offshoring and Innovation: How Large are the Benefits of Co-Location?
4661,212,Measuring the Productivity Contribution and Dynamism of Superstar Firms
3256,36,Starting School at Four: The Effects of Universal Pre-Kindergarten on Children and Mothers
3047,9,Measuring the End-Use of U.S. Traded Goods
2166,9,"The Effect of Labor and Capital on Productivity, Employment, Wages, and Regional Business Dynamism"
3778,0,The Effects of Interactions with International Markets on US Firm Performance
2105,191,"The Impact of Right-to-Work Law on Firms' Employment, Performance, and Financial Decisions: Evidence from a Natural Experiment"
3356,5,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
2917,258,"Introduction of Head Start, Maternal Labor Supply and Child Outcomes"
2344,129,Effects of the Family and Medical Leave Act on Firms and Workers: Evidence from the LEHD
2373,96,Effects of the Family and Medical Leave Act on Firms and Workers: Evidence from the LEHD
2380,86,Do Big Box Grocers Improve Food Security?
1735,41,The Effects of Early Childhood Circumstances on Adult Involvement in the Criminal Justice System
2234,503,"Intangibles, Productivity, and Firm Growth"
1952,107,"The Impact of Uncertainty, Investment, and Large Deviations in the Business Cycle on International Trade Data Quality and Measurement"
5969,367,Measuring the Productivity Contribution and Dynamism of Superstar Firms
2328,35,Using Matched Employer-Employee Data to Examine Labor Market Dynamics and the Quality of SIPP/CPS Data
2694,52,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
2694,39,The Labor Market for Older Workers
1252,6,Economic Impact of Science and Engineering Workers
3169,22,Firm Networks and Firm Expansion
4296,107,Political Environments and Manufacturing Employment and Investment
2265,6,Identifying Agglomeration Spillovers:  New Evidence from Large Plant Openings
7878,1743,Hispanic Health Care Access and Utilization in Different Geographic Locations
856,40,"Recessions, Local Labor Markets, and Inequality"
2278,8,"Firm Innovation, Knowledge Spillovers, and Productivity Growth"
3029,190,Answering the race question
3037,22,Answering the race question
3037,1,Answering the race question
3337,57,Answering the race question
522,25,Effects on Labor Markets of Reservists and Military Spouses
1992,65,Disability Insurance and Employment Decisions
1831,62,"Common Ownership, Labor Market Outcomes, and Corporate Investment: Establishment-Level Evidence"
2317,59,Supply Chains and Inflation Dynamics
3438,97,"Human Capital and Corporate Financing, Restructuring, and Governance"
675,12,The Determinants of Industrial Location
3535,249,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
2479,97,Employees in the U.S. Non-profit Sector
2262,2,The Causes and Consequences of International Trade
993,38,Estimating the Effects of Bankruptcy Regimes on Firm Outcomes
5239,486,Measuring the Impact of Affirmative Action Law on Establishment Productivity
3185,69,"Searching, matching, and the transfer of information in international trade relationships"
1647,16,Can the Location of Labor Intensive Manufacturing Account for the Employment of Foreign-Born Workers in the US?
6275,1817,Productivity Heterogeneity and Market Segmentation
3900,261,Estimating Productivity Spillovers from Manufacturing Employment using Trade Shocks
3108,147,Factors Driving Changes in U.S. Firms' International Sourcing from China
2470,65,The Spillover Effects of Universal Pre-K on Mothers' Labor Supply
736,22,"Wages, Worker Productivity, and Imperfect Competition in the U.S. Labor Market"
2602,7,The Employment and Wage Effects of Mergers and Acquisitions
7765,100,Demographic Inversion in U.S. Metropolitan Areas
3360,264,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
2623,40,R&D Expenditures by Industry
2317,43,Understanding Factors Affecting the Ability of Older Workers to Participate in the Labor Force: Employer Concentration and Employer Demand
3276,36,Parameterizing the Income Distribution
613,15,Effects of Initial Capital Investment on Firm Performance
3301,112,"Hearing Quality, Social Resources, and Mortality among U.S. Adults"
2500,128,Unexpected shocks in trade and firm adjustment behaviors
10321,927,The Impact of Labor Management on Capital-Labor Substitution
10505,570,The Effect of Health Care Costs on the Growth and Survival of Small Business
1586,118,Factors associated with internal and international migration at the block group level
1770,46,Causes and Macroeconomic Implications of the Growth of the Professional Business Services
1190,18,The Labor Market Effects of the Voting Rights Act
1009,3,The Importance of Relocations in U.S. Manufacturing
3413,12,R&D Expenditures by Industry
448,0,Improving Estimates for Post-2000 Small Area Data
384,0,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
1586,1,Oil and Gas Involved Areas Along the U.S. Gulf Coast
998,0,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
1831,26,Intersectional Environmental Justice: Examining Micro-level Disparities in Multiple Environmental Outcomes
2136,14,Regulating Pollution Through Information Disclosure:  Facility Response to the Toxics Release Inventory
1586,9,Health and Migration in the Continental United States
3107,7,Military Service and Immigrants' Assimilation: Evidence from the Vietnam Draft Lotteries
